2025-10-28 03:25:30: Price=$4215.85, Position=No position, Balance=1001.97 USDC
2025-10-28 03:26:30: Price=$4215.85, Position=No position, Balance=1001.97 USDC
2025-10-28 03:27:30: Price=$4215.85, Position=No position, Balance=1001.97 USDC
2025-10-28 03:28:33: Price=$4216.55, Position=No position, Balance=1001.97 USDC
2025-10-28 03:29:33: Price=$4216.55, Position=No position, Balance=1001.97 USDC
2025-10-28 03:30:33: Price=$4216.55, Position=No position, Balance=1001.97 USDC
2025-10-28 03:31:36: Price=$4207.15, Position=No position, Balance=1001.97 USDC
2025-10-28 03:32:36: Price=$4207.15, Position=No position, Balance=1001.97 USDC
2025-10-28 03:33:36: Price=$4207.15, Position=No position, Balance=1001.97 USDC
2025-10-28 03:34:37: Price=$4196.55, Position=No position, Balance=1001.97 USDC
2025-10-28 03:35:37: Price=$4196.55, Position=No position, Balance=1001.97 USDC
2025-10-28 03:36:37: Price=$4196.55, Position=No position, Balance=1001.97 USDC
2025-10-28 03:37:39: Price=$4203.35, Position=No position, Balance=1001.97 USDC
2025-10-28 03:38:39: Price=$4203.35, Position=No position, Balance=1001.97 USDC
2025-10-28 03:39:39: Price=$4203.35, Position=No position, Balance=1001.97 USDC
2025-10-28 03:40:41: Price=$4201.85, Position=No position, Balance=1001.97 USDC
2025-10-28 03:41:41: Price=$4201.85, Position=No position, Balance=1001.97 USDC
2025-10-28 03:42:41: Price=$4201.85, Position=No position, Balance=1001.97 USDC
2025-10-28 03:43:43: Price=$4201.55, Position=No position, Balance=1001.97 USDC
2025-10-28 03:44:43: Price=$4201.55, Position=No position, Balance=1001.97 USDC
2025-10-28 03:45:43: Price=$4201.55, Position=No position, Balance=1001.97 USDC
2025-10-28 03:46:45: Price=$4205.25, Position=No position, Balance=1001.97 USDC
2025-10-28 03:47:45: Price=$4205.25, Position=No position, Balance=1001.97 USDC
2025-10-28 03:48:45: Price=$4205.25, Position=No position, Balance=1001.97 USDC
2025-10-28 03:49:46: Price=$4203.15, Position=No position, Balance=1001.97 USDC
2025-10-28 03:50:46: Price=$4203.15, Position=No position, Balance=1001.97 USDC
2025-10-28 03:51:46: Price=$4203.15, Position=No position, Balance=1001.97 USDC
2025-10-28 03:52:49: Price=$4202.15, Position=No position, Balance=1001.97 USDC
2025-10-28 03:53:49: Price=$4202.15, Position=No position, Balance=1001.97 USDC
2025-10-28 03:54:49: Price=$4202.15, Position=No position, Balance=1001.97 USDC
2025-10-28 03:55:51: Price=$4201.05, Position=No position, Balance=1001.97 USDC
2025-10-28 03:56:51: Price=$4201.05, Position=No position, Balance=1001.97 USDC
2025-10-28 03:57:51: Price=$4201.05, Position=No position, Balance=1001.97 USDC
2025-10-28 03:58:53: Price=$4199.95, Position=No position, Balance=1001.97 USDC
2025-10-28 03:59:53: Price=$4199.95, Position=No position, Balance=1001.97 USDC
2025-10-28 04:00:53: Price=$4199.95, Position=No position, Balance=1001.97 USDC
2025-10-28 04:01:55: Price=$4175.85, Position=No position, Balance=1001.97 USDC
2025-10-28 04:02:55: Price=$4175.85, Position=No position, Balance=1001.97 USDC
2025-10-28 04:03:55: Price=$4175.85, Position=No position, Balance=1001.97 USDC
2025-10-28 04:04:57: Price=$4166.45, Position=No position, Balance=1001.97 USDC
2025-10-28 04:05:57: Price=$4166.45, Position=No position, Balance=1001.97 USDC
2025-10-28 04:06:57: Price=$4166.45, Position=No position, Balance=1001.97 USDC
2025-10-28 04:07:59: Price=$4157.65, Position=No position, Balance=1001.97 USDC
2025-10-28 04:08:59: Price=$4157.65, Position=No position, Balance=1001.97 USDC
2025-10-28 04:09:59: Price=$4157.65, Position=No position, Balance=1001.97 USDC
2025-10-28 04:11:01: Price=$4148.95, Position=No position, Balance=1001.97 USDC
2025-10-28 04:12:01: Price=$4148.95, Position=No position, Balance=1001.97 USDC
2025-10-28 04:17:28: Price=$4159.05, Position=No position, Balance=1001.97 USDC
2025-10-28 04:18:28: Price=$4159.05, Position=No position, Balance=1001.97 USDC
2025-10-28 04:20:31: Price=$4165.05, Position=No position, Balance=1001.97 USDC
2025-10-28 04:21:31: Price=$4165.05, Position=No position, Balance=1001.97 USDC
2025-10-28 04:22:31: Price=$4165.05, Position=No position, Balance=1001.97 USDC
2025-10-28 04:23:18: Price=$4165.25, Position=No position, Balance=1001.97 USDC
2025-10-28 04:24:18: Price=$4165.25, Position=No position, Balance=1001.97 USDC
2025-10-28 04:25:18: Price=$4165.25, Position=No position, Balance=1001.97 USDC
2025-10-28 04:26:20: Price=$4151.85, Position=No position, Balance=1001.97 USDC
2025-10-28 04:27:20: Price=$4151.85, Position=No position, Balance=1001.97 USDC
2025-10-28 04:28:20: Price=$4151.85, Position=No position, Balance=1001.97 USDC
2025-10-28 04:29:21: Price=$4151.45, Position=No position, Balance=1001.97 USDC
2025-10-28 04:30:21: Price=$4151.45, Position=No position, Balance=1001.97 USDC
2025-10-28 04:31:21: Price=$4151.45, Position=No position, Balance=1001.97 USDC
2025-10-28 04:32:24: Price=$4151.65, Position=No position, Balance=1001.97 USDC
2025-10-28 04:33:24: Price=$4151.65, Position=No position, Balance=1001.97 USDC
2025-10-28 04:34:24: Price=$4151.65, Position=No position, Balance=1001.97 USDC
2025-10-28 04:35:25: Price=$4149.05, Position=No position, Balance=1001.97 USDC
2025-10-28 04:36:25: Price=$4149.05, Position=No position, Balance=1001.97 USDC
2025-10-28 04:37:25: Price=$4149.05, Position=No position, Balance=1001.97 USDC
2025-10-28 04:38:28: Price=$4147.25, Position=No position, Balance=1001.97 USDC
2025-10-28 04:39:28: Price=$4147.25, Position=No position, Balance=1001.97 USDC
2025-10-28 04:40:28: Price=$4147.25, Position=No position, Balance=1001.97 USDC
2025-10-28 04:41:30: Price=$4148.85, Position=No position, Balance=1001.97 USDC
2025-10-28 04:42:30: Price=$4148.85, Position=No position, Balance=1001.97 USDC
2025-10-28 04:43:30: Price=$4148.85, Position=No position, Balance=1001.97 USDC
2025-10-28 04:44:31: Price=$4143.45, Position=No position, Balance=1001.97 USDC
2025-10-28 04:45:31: Price=$4143.45, Position=No position, Balance=1001.97 USDC
2025-10-28 04:46:31: Price=$4143.45, Position=No position, Balance=1001.97 USDC
2025-10-28 04:46:40: Price=$114672.50, Position=No position, Balance=1001.97 USDC
2025-10-28 04:47:33: Price=$4140.90, Position=No position, Balance=1001.97 USDC
2025-10-28 04:47:40: Price=$114672.50, Position=No position, Balance=1001.97 USDC
