2025-10-27 16:36:18: Price=$4178.15, Position=No position, Balance=1001.97 USDC
2025-10-27 16:36:48: Price=$4176.05, Position=No position, Balance=1001.97 USDC
2025-10-27 16:37:50: Price=$4176.55, Position=No position, Balance=1001.97 USDC
2025-10-27 16:38:51: Price=$4178.45, Position=No position, Balance=1001.97 USDC
2025-10-27 16:39:53: Price=$4177.05, Position=No position, Balance=1001.97 USDC
2025-10-27 16:40:54: Price=$4175.95, Position=No position, Balance=1001.97 USDC
2025-10-27 16:41:56: Price=$4177.45, Position=No position, Balance=1001.97 USDC
2025-10-27 16:42:58: Price=$4179.55, Position=No position, Balance=1001.97 USDC
2025-10-27 16:43:59: Price=$4181.05, Position=No position, Balance=1001.97 USDC
2025-10-27 16:45:01: Price=$4180.45, Position=No position, Balance=1001.97 USDC
2025-10-27 16:46:03: Price=$4176.25, Position=No position, Balance=1001.97 USDC
2025-10-27 16:46:15: Price=$4175.70, Position=No position, Balance=1001.97 USDC
2025-10-27 16:47:04: Price=$4175.85, Position=No position, Balance=1001.97 USDC
2025-10-27 16:47:16: Price=$4175.35, Position=No position, Balance=1001.97 USDC
2025-10-27 16:48:06: Price=$4176.65, Position=No position, Balance=1001.97 USDC
2025-10-27 16:48:18: Price=$4175.25, Position=No position, Balance=1001.97 USDC
2025-10-27 16:49:07: Price=$4173.45, Position=No position, Balance=1001.97 USDC
2025-10-27 16:49:19: Price=$4172.55, Position=No position, Balance=1001.97 USDC
2025-10-27 16:50:09: Price=$4170.25, Position=No position, Balance=1001.97 USDC
2025-10-27 16:50:21: Price=$4168.45, Position=No position, Balance=1001.97 USDC
2025-10-27 16:51:11: Price=$4166.75, Position=No position, Balance=1001.97 USDC
2025-10-27 16:51:22: Price=$4167.25, Position=No position, Balance=1001.97 USDC
2025-10-27 16:52:12: Price=$4166.45, Position=No position, Balance=1001.97 USDC
2025-10-27 16:52:24: Price=$4167.25, Position=No position, Balance=1001.97 USDC
2025-10-27 16:53:13: Price=$4167.45, Position=No position, Balance=1001.97 USDC
2025-10-27 16:53:26: Price=$4168.05, Position=No position, Balance=1001.97 USDC
2025-10-27 16:54:15: Price=$4166.85, Position=No position, Balance=1001.97 USDC
2025-10-27 16:54:28: Price=$4166.85, Position=No position, Balance=1001.97 USDC
2025-10-27 16:55:17: Price=$4163.80, Position=No position, Balance=1001.97 USDC
2025-10-27 16:55:29: Price=$4163.25, Position=No position, Balance=1001.97 USDC
2025-10-27 16:55:53: Price=$4162.35, Position=No position, Balance=1001.97 USDC
2025-10-27 16:56:17: Price=$4163.55, Position=No position, Balance=1001.97 USDC
2025-10-27 16:56:19: Price=$4163.15, Position=No position, Balance=1001.97 USDC
2025-10-27 16:56:31: Price=$4161.15, Position=No position, Balance=1001.97 USDC
2025-10-27 16:57:20: Price=$4160.55, Position=No position, Balance=1001.97 USDC
2025-10-27 16:57:32: Price=$4160.65, Position=No position, Balance=1001.97 USDC
2025-10-27 16:58:22: Price=$4168.75, Position=No position, Balance=1001.97 USDC
2025-10-27 16:58:34: Price=$4167.55, Position=No position, Balance=1001.97 USDC
2025-10-27 16:59:24: Price=$4168.75, Position=No position, Balance=1001.97 USDC
2025-10-27 16:59:36: Price=$4168.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:00:25: Price=$4168.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:00:38: Price=$4169.25, Position=No position, Balance=1001.97 USDC
2025-10-27 17:01:27: Price=$4168.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:01:39: Price=$4167.85, Position=No position, Balance=1001.97 USDC
2025-10-27 17:02:28: Price=$4164.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:02:41: Price=$4159.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:03:30: Price=$4168.35, Position=No position, Balance=1001.97 USDC
2025-10-27 17:03:43: Price=$4166.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:04:31: Price=$4163.45, Position=No position, Balance=1001.97 USDC
2025-10-27 17:04:44: Price=$4163.85, Position=No position, Balance=1001.97 USDC
2025-10-27 17:05:33: Price=$4160.10, Position=No position, Balance=1001.97 USDC
2025-10-27 17:05:46: Price=$4159.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:06:34: Price=$4158.75, Position=No position, Balance=1001.97 USDC
