2025-10-31 07:51:58: Price=$4033.65, Position=No position, Balance=1001.97 USDC
2025-10-31 07:52:58: Price=$4033.65, Position=No position, Balance=1001.97 USDC
2025-10-31 08:02:39: Price=$4031.15, Position=No position, Balance=1001.97 USDC
2025-10-31 08:03:39: Price=$4031.15, Position=No position, Balance=1001.97 USDC
2025-10-31 08:04:39: Price=$4031.15, Position=No position, Balance=1001.97 USDC
2025-10-31 08:05:46: Price=$4026.15, Position=No position, Balance=1001.97 USDC
2025-10-31 08:06:46: Price=$4026.15, Position=No position, Balance=1001.97 USDC
2025-10-31 08:07:33: Price=$4028.25, Position=No position, Balance=1001.97 USDC
2025-10-31 08:08:33: Price=$4028.25, Position=No position, Balance=1001.97 USDC
2025-10-31 08:09:33: Price=$4028.25, Position=No position, Balance=1001.97 USDC
2025-10-31 08:13:41: Price=$4026.90, Position=No position, Balance=1001.97 USDC
2025-10-31 08:14:41: Price=$4026.90, Position=No position, Balance=1001.97 USDC
2025-10-31 08:15:41: Price=$4026.90, Position=No position, Balance=1001.97 USDC
2025-10-31 08:16:43: Price=$4029.60, Position=No position, Balance=1001.97 USDC
2025-10-31 08:19:55: Price=$4028.80, Position=No position, Balance=1001.97 USDC
2025-10-31 08:20:55: Price=$4028.80, Position=No position, Balance=1001.97 USDC
2025-10-31 08:21:55: Price=$4028.80, Position=No position, Balance=1001.97 USDC
2025-10-31 08:22:57: Price=$4027.85, Position=No position, Balance=1001.97 USDC
2025-10-31 08:23:57: Price=$4027.85, Position=No position, Balance=1001.97 USDC
2025-10-31 08:24:57: Price=$4027.85, Position=No position, Balance=1001.97 USDC
2025-10-31 12:48:44: Price=$4001.10, Position=No position, Balance=1001.97 USDC
2025-10-31 12:49:44: Price=$4001.10, Position=No position, Balance=1001.97 USDC
2025-10-31 12:50:44: Price=$4001.10, Position=No position, Balance=1001.97 USDC
2025-10-31 12:51:45: Price=$4001.65, Position=No position, Balance=1001.97 USDC
2025-10-31 12:52:45: Price=$4001.65, Position=No position, Balance=1001.97 USDC
2025-10-31 12:53:45: Price=$4001.65, Position=No position, Balance=1001.97 USDC
2025-10-31 12:54:47: Price=$4002.55, Position=No position, Balance=1001.97 USDC
2025-10-31 12:55:47: Price=$4002.55, Position=No position, Balance=1001.97 USDC
2025-10-31 12:56:47: Price=$4002.55, Position=No position, Balance=1001.97 USDC
2025-10-31 12:57:48: Price=$4003.15, Position=No position, Balance=1001.97 USDC
2025-10-31 12:58:48: Price=$4003.15, Position=No position, Balance=1001.97 USDC
2025-10-31 12:59:48: Price=$4003.15, Position=No position, Balance=1001.97 USDC
2025-10-31 13:00:50: Price=$4001.45, Position=No position, Balance=1001.97 USDC
2025-10-31 13:01:50: Price=$4001.45, Position=No position, Balance=1001.97 USDC
2025-10-31 13:02:50: Price=$4001.45, Position=No position, Balance=1001.97 USDC
