2025-10-29 11:24:58: Price=$112479.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:25:58: Price=$112479.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:28:40: Price=$112376.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:29:40: Price=$112376.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:30:40: Price=$112376.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:31:42: Price=$112489.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:32:42: Price=$112489.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:33:42: Price=$112489.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:34:43: Price=$112522.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:35:43: Price=$112522.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:36:43: Price=$112522.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:37:45: Price=$112498.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:38:45: Price=$112498.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:39:45: Price=$112498.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:40:47: Price=$112510.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:41:47: Price=$112510.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:42:47: Price=$112510.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:43:42: Price=$112552.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:49:07: Price=$112504.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:50:07: Price=$112504.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:51:07: Price=$112504.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:52:08: Price=$112518.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:53:08: Price=$112518.50, Position=No position, Balance=1001.97 USDC
2025-10-29 11:54:08: Price=$112518.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:02:12: Price=$112509.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:03:12: Price=$112509.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:04:12: Price=$112509.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:05:13: Price=$112551.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:06:13: Price=$112551.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:07:13: Price=$112551.50, Position=No position, Balance=1001.97 USDC
